DT50,KOC,Freundlich,Rate,Scenario,Result
125,1485,1.0,1695,9,0.0
10,385,1.0,1405,1,0.0
10,385,1.0,1405,2,0.0
10,385,1.0,1405,3,0.0
10,385,1.0,1405,4,0.0
10,385,1.0,1405,5,0.0
10,385,1.0,1405,6,0.0
10,385,1.0,1405,7,0.0
10,385,1.0,1405,8,0.0
10,385,1.0,1405,9,0.0
20,1925,1.1,1285,1,0.0
20,1925,1.1,1285,2,0.0
20,1925,1.1,1285,3,0.0
20,1925,1.1,1285,4,0.0
20,1925,1.1,1285,5,0.0
20,1925,1.1,1285,6,0.0
20,1925,1.1,1285,7,0.0
20,1925,1.1,1285,8,0.0
20,1925,1.1,1285,9,0.0
20,155,0.85,575,1,0.0
20,155,0.85,575,2,0.0
20,155,0.85,575,3,0.0
20,155,0.85,575,4,0.0
20,155,0.85,575,5,0.0
20,155,0.85,575,6,0.0
20,155,0.85,575,7,0.0
20,155,0.85,575,8,0.0
20,155,0.85,575,9,0.0
160,815,1.05,655,1,0.184
160,815,1.05,655,2,1.393
160,815,1.05,655,3,0.28300000000000003
160,815,1.05,655,4,1.27
160,815,1.05,655,5,1.7719999999999998
160,815,1.05,655,6,1.203
160,815,1.05,655,7,1.121
160,815,1.05,655,8,0.002
160,815,1.05,655,9,0.071
105,1355,0.85,555,1,0.0
105,1355,0.85,555,2,0.0
105,1355,0.85,555,3,0.0
105,1355,0.85,555,4,0.0
105,1355,0.85,555,5,0.0
105,1355,0.85,555,6,0.0
105,1355,0.85,555,7,0.0
105,1355,0.85,555,8,0.0
105,1355,0.85,555,9,0.0
135,1375,0.95,385,1,0.0
135,1375,0.95,385,2,0.0
135,1375,0.95,385,3,0.0
135,1375,0.95,385,4,0.0
135,1375,0.95,385,5,0.001
135,1375,0.95,385,6,0.0
135,1375,0.95,385,7,0.0
135,1375,0.95,385,8,0.0
135,1375,0.95,385,9,0.0
195,1965,1.0,985,1,0.0
195,1965,1.0,985,2,0.01
195,1965,1.0,985,3,0.0
195,1965,1.0,985,4,0.009000000000000001
195,1965,1.0,985,5,0.036000000000000004
195,1965,1.0,985,6,0.013
195,1965,1.0,985,7,0.009000000000000001
195,1965,1.0,985,8,0.0
195,1965,1.0,985,9,0.0
80,1575,0.7,1005,1,0.0
80,1575,0.7,1005,2,0.0
80,1575,0.7,1005,3,0.0
80,1575,0.7,1005,4,0.0
80,1575,0.7,1005,5,0.0
80,1575,0.7,1005,6,0.0
80,1575,0.7,1005,7,0.0
80,1575,0.7,1005,8,0.0
80,1575,0.7,1005,9,0.0
55,1985,1.0,65,1,0.0
55,1985,1.0,65,2,0.0
55,1985,1.0,65,3,0.0
55,1985,1.0,65,4,0.0
55,1985,1.0,65,5,0.0
55,1985,1.0,65,6,0.0
55,1985,1.0,65,7,0.0
55,1985,1.0,65,8,0.0
55,1985,1.0,65,9,0.0
10,1765,1.0,955,1,0.0
10,1765,1.0,955,2,0.0
10,1765,1.0,955,3,0.0
10,1765,1.0,955,4,0.0
10,1765,1.0,955,5,0.0
10,1765,1.0,955,6,0.0
10,1765,1.0,955,7,0.0
10,1765,1.0,955,8,0.0
10,1765,1.0,955,9,0.0
30,1295,0.75,1765,1,0.0
30,1295,0.75,1765,2,0.0
30,1295,0.75,1765,3,0.0
30,1295,0.75,1765,4,0.0
30,1295,0.75,1765,5,0.0
30,1295,0.75,1765,6,0.0
30,1295,0.75,1765,7,0.0
30,1295,0.75,1765,8,0.0
30,1295,0.75,1765,9,0.0
145,1385,0.8,95,1,0.0
145,1385,0.8,95,2,0.0
145,1385,0.8,95,3,0.0
145,1385,0.8,95,4,0.0
145,1385,0.8,95,5,0.0
145,1385,0.8,95,6,0.0
145,1385,0.8,95,7,0.0
145,1385,0.8,95,8,0.0
145,1385,0.8,95,9,0.0
150,465,1.05,1285,1,2.822
150,465,1.05,1285,2,10.977
150,465,1.05,1285,3,4.271
150,465,1.05,1285,4,9.334
150,465,1.05,1285,5,11.616
150,465,1.05,1285,6,8.95
150,465,1.05,1285,7,8.277999999999999
150,465,1.05,1285,8,0.083
150,465,1.05,1285,9,1.328
150,1135,0.95,1325,1,0.0
150,1135,0.95,1325,2,0.015
150,1135,0.95,1325,3,0.0
150,1135,0.95,1325,4,0.01
150,1135,0.95,1325,5,0.047
150,1135,0.95,1325,6,0.016
150,1135,0.95,1325,7,0.011
150,1135,0.95,1325,8,0.0
150,1135,0.95,1325,9,0.0
145,5,0.95,55,1,20.994
145,5,0.95,55,2,17.562
145,5,0.95,55,3,22.031
145,5,0.95,55,4,14.437
145,5,0.95,55,5,10.296
145,5,0.95,55,6,15.395
145,5,0.95,55,7,9.255
145,5,0.95,55,8,8.752
145,5,0.95,55,9,12.816
115,315,1.1,815,1,5.131
115,315,1.1,815,2,14.689
115,315,1.1,815,3,8.089
115,315,1.1,815,4,11.505999999999998
115,315,1.1,815,5,14.002
115,315,1.1,815,6,10.587
115,315,1.1,815,7,10.485
115,315,1.1,815,8,0.375
115,315,1.1,815,9,2.54
155,1245,1.1,945,1,0.118
155,1245,1.1,945,2,0.9
155,1245,1.1,945,3,0.192
155,1245,1.1,945,4,0.866
155,1245,1.1,945,5,1.262
155,1245,1.1,945,6,0.83
155,1245,1.1,945,7,0.7509999999999999
155,1245,1.1,945,8,0.002
155,1245,1.1,945,9,0.047
165,1205,0.95,435,1,0.0
165,1205,0.95,435,2,0.004
165,1205,0.95,435,3,0.0
165,1205,0.95,435,4,0.002
165,1205,0.95,435,5,0.012
165,1205,0.95,435,6,0.004
165,1205,0.95,435,7,0.003
165,1205,0.95,435,8,0.0
165,1205,0.95,435,9,0.0
155,125,1.05,585,1,36.4
155,125,1.05,585,2,53.969
155,125,1.05,585,3,42.396
155,125,1.05,585,4,42.649
155,125,1.05,585,5,41.869
155,125,1.05,585,6,38.522
155,125,1.05,585,7,30.514
155,125,1.05,585,8,8.732000000000001
155,125,1.05,585,9,27.895
145,615,1.0,1935,1,0.304
145,615,1.0,1935,2,3.3310000000000004
145,615,1.0,1935,3,0.5379999999999999
145,615,1.0,1935,4,2.937
145,615,1.0,1935,5,4.311
145,615,1.0,1935,6,2.694
145,615,1.0,1935,7,2.608
145,615,1.0,1935,8,0.002
145,615,1.0,1935,9,0.095
140,1385,0.8,345,1,0.0
140,1385,0.8,345,2,0.0
140,1385,0.8,345,3,0.0
140,1385,0.8,345,4,0.0
140,1385,0.8,345,5,0.0
140,1385,0.8,345,6,0.0
140,1385,0.8,345,7,0.0
140,1385,0.8,345,8,0.0
140,1385,0.8,345,9,0.0
155,995,0.9,285,1,0.0
155,995,0.9,285,2,0.0
155,995,0.9,285,3,0.0
155,995,0.9,285,4,0.0
155,995,0.9,285,5,0.0
155,995,0.9,285,6,0.0
155,995,0.9,285,7,0.0
155,995,0.9,285,8,0.0
155,995,0.9,285,9,0.0
120,1855,0.9,1115,1,0.0
120,1855,0.9,1115,2,0.0
120,1855,0.9,1115,3,0.0
120,1855,0.9,1115,4,0.0
120,1855,0.9,1115,5,0.0
120,1855,0.9,1115,6,0.0
120,1855,0.9,1115,7,0.0
120,1855,0.9,1115,8,0.0
120,1855,0.9,1115,9,0.0
35,1415,0.8,1485,1,0.0
35,1415,0.8,1485,2,0.0
35,1415,0.8,1485,3,0.0
35,1415,0.8,1485,4,0.0
35,1415,0.8,1485,5,0.0
35,1415,0.8,1485,6,0.0
35,1415,0.8,1485,7,0.0
35,1415,0.8,1485,8,0.0
35,1415,0.8,1485,9,0.0
5,1695,0.95,1675,1,0.0
5,1695,0.95,1675,2,0.0
5,1695,0.95,1675,3,0.0
5,1695,0.95,1675,4,0.0
5,1695,0.95,1675,5,0.0
5,1695,0.95,1675,6,0.0
5,1695,0.95,1675,7,0.0
5,1695,0.95,1675,8,0.0
5,1695,0.95,1675,9,0.0
45,1475,1.05,275,1,0.0
45,1475,1.05,275,2,0.0
45,1475,1.05,275,3,0.0
45,1475,1.05,275,4,0.0
45,1475,1.05,275,5,0.0
45,1475,1.05,275,6,0.0
45,1475,1.05,275,7,0.0
45,1475,1.05,275,8,0.0
45,1475,1.05,275,9,0.0
190,635,0.7,575,1,0.0
190,635,0.7,575,2,0.0
190,635,0.7,575,3,0.0
190,635,0.7,575,4,0.0
190,635,0.7,575,5,0.0
190,635,0.7,575,6,0.0
190,635,0.7,575,7,0.0
190,635,0.7,575,8,0.0
190,635,0.7,575,9,0.0
100,145,0.9,665,1,2.205
100,145,0.9,665,2,10.196
100,145,0.9,665,3,4.394
100,145,0.9,665,4,7.282999999999999
100,145,0.9,665,5,9.671
100,145,0.9,665,6,6.3020000000000005
100,145,0.9,665,7,6.551
100,145,0.9,665,8,0.019
100,145,0.9,665,9,0.738
70,195,0.7,975,1,0.0
70,195,0.7,975,2,0.0
70,195,0.7,975,3,0.0
70,195,0.7,975,4,0.0
70,195,0.7,975,5,0.0
70,195,0.7,975,6,0.0
70,195,0.7,975,7,0.0
70,195,0.7,975,8,0.0
70,195,0.7,975,9,0.0
70,1775,1.05,1265,1,0.0
70,1775,1.05,1265,2,0.001
70,1775,1.05,1265,3,0.0
70,1775,1.05,1265,4,0.001
70,1775,1.05,1265,5,0.003
70,1775,1.05,1265,6,0.001
70,1775,1.05,1265,7,0.001
70,1775,1.05,1265,8,0.0
70,1775,1.05,1265,9,0.0
120,1275,0.9,205,1,0.0
120,1275,0.9,205,2,0.0
120,1275,0.9,205,3,0.0
120,1275,0.9,205,4,0.0
120,1275,0.9,205,5,0.0
120,1275,0.9,205,6,0.0
120,1275,0.9,205,7,0.0
120,1275,0.9,205,8,0.0
120,1275,0.9,205,9,0.0
15,465,0.7,1985,1,0.0
15,465,0.7,1985,2,0.0
15,465,0.7,1985,3,0.0
15,465,0.7,1985,4,0.0
15,465,0.7,1985,5,0.0
15,465,0.7,1985,6,0.0
15,465,0.7,1985,7,0.0
15,465,0.7,1985,8,0.0
15,465,0.7,1985,9,0.0
180,1825,0.8,675,1,0.0
180,1825,0.8,675,2,0.0
180,1825,0.8,675,3,0.0
180,1825,0.8,675,4,0.0
180,1825,0.8,675,5,0.0
180,1825,0.8,675,6,0.0
180,1825,0.8,675,7,0.0
180,1825,0.8,675,8,0.0
180,1825,0.8,675,9,0.0
135,1455,0.8,45,1,0.0
135,1455,0.8,45,2,0.0
135,1455,0.8,45,3,0.0
135,1455,0.8,45,4,0.0
135,1455,0.8,45,5,0.0
135,1455,0.8,45,6,0.0
135,1455,0.8,45,7,0.0
135,1455,0.8,45,8,0.0
135,1455,0.8,45,9,0.0
25,1255,0.75,1605,1,0.0
25,1255,0.75,1605,2,0.0
25,1255,0.75,1605,3,0.0
25,1255,0.75,1605,4,0.0
25,1255,0.75,1605,5,0.0
25,1255,0.75,1605,6,0.0
25,1255,0.75,1605,7,0.0
25,1255,0.75,1605,8,0.0
25,1255,0.75,1605,9,0.0
20,1015,0.9,135,1,0.0
20,1015,0.9,135,2,0.0
20,1015,0.9,135,3,0.0
20,1015,0.9,135,4,0.0
20,1015,0.9,135,5,0.0
20,1015,0.9,135,6,0.0
20,1015,0.9,135,7,0.0
20,1015,0.9,135,8,0.0
20,1015,0.9,135,9,0.0
60,525,0.9,1415,1,0.0
60,525,0.9,1415,2,0.0
60,525,0.9,1415,3,0.0
60,525,0.9,1415,4,0.0
60,525,0.9,1415,5,0.001
60,525,0.9,1415,6,0.0
60,525,0.9,1415,7,0.0
60,525,0.9,1415,8,0.0
60,525,0.9,1415,9,0.0
80,835,0.7,1175,1,0.0
80,835,0.7,1175,2,0.0
80,835,0.7,1175,3,0.0
